Date,Close
8-Dec-16,795.17
7-Dec-16,791.47
6-Dec-16,776.18
5-Dec-16,778.22
2-Dec-16,764.46
1-Dec-16,764.33
30-Nov-16,775.88
29-Nov-16,789.44
28-Nov-16,785.79
25-Nov-16,780.23
23-Nov-16,779
22-Nov-16,785
21-Nov-16,784.8
18-Nov-16,775.97
17-Nov-16,786.16
16-Nov-16,779.98
15-Nov-16,775.16
14-Nov-16,753.22
11-Nov-16,771.75
10-Nov-16,780.29
9-Nov-16,805.59
8-Nov-16,811.98
7-Nov-16,802.03
4-Nov-16,781.1
3-Nov-16,782.19
2-Nov-16,788.42
1-Nov-16,805.48
31-Oct-16,809.9
28-Oct-16,819.56
27-Oct-16,817.35
26-Oct-16,822.1
25-Oct-16,828.55
24-Oct-16,835.74
21-Oct-16,824.06
20-Oct-16,821.63
19-Oct-16,827.09
18-Oct-16,821.49
17-Oct-16,806.84
14-Oct-16,804.6
13-Oct-16,804.08
12-Oct-16,811.77
11-Oct-16,809.57
10-Oct-16,814.17
7-Oct-16,800.71
6-Oct-16,803.08
5-Oct-16,801.23
4-Oct-16,802.79
3-Oct-16,800.38
30-Sep-16,804.06
29-Sep-16,802.64
28-Sep-16,810.06
27-Sep-16,810.73
26-Sep-16,802.65
23-Sep-16,814.96
22-Sep-16,815.95
21-Sep-16,805.03
20-Sep-16,799.78
19-Sep-16,795.39
16-Sep-16,797.97
15-Sep-16,801.23
14-Sep-16,790.46
13-Sep-16,788.72
12-Sep-16,798.82
9-Sep-16,788.48
8-Sep-16,802.84
7-Sep-16,807.99
6-Sep-16,808.02
2-Sep-16,796.87
1-Sep-16,791.4
31-Aug-16,789.85
30-Aug-16,791.92
29-Aug-16,795.82
26-Aug-16,793.22
25-Aug-16,791.3
24-Aug-16,793.6
23-Aug-16,796.59
22-Aug-16,796.95
19-Aug-16,799.65
18-Aug-16,802.75
17-Aug-16,805.42
16-Aug-16,801.19
15-Aug-16,805.96
12-Aug-16,807.05
11-Aug-16,808.2
10-Aug-16,808.49
9-Aug-16,807.48
8-Aug-16,805.23
5-Aug-16,806.93
4-Aug-16,797.25
3-Aug-16,798.92
2-Aug-16,800.12
1-Aug-16,800.94
29-Jul-16,791.34
28-Jul-16,765.84
27-Jul-16,761.97
26-Jul-16,757.65
25-Jul-16,757.52
22-Jul-16,759.28
21-Jul-16,754.41
20-Jul-16,757.08
19-Jul-16,753.41
18-Jul-16,753.2
15-Jul-16,735.63
14-Jul-16,735.8
13-Jul-16,729.48
12-Jul-16,732.51
11-Jul-16,727.2
8-Jul-16,717.78
7-Jul-16,707.26
6-Jul-16,708.97
5-Jul-16,704.89
1-Jul-16,710.25
30-Jun-16,703.53
29-Jun-16,695.19
